No,Season,Name,Age,Nat.,Position,Market value,From,To,Fee,Type,,
225,21/22 Summer,Philippe Sandler,24,Netherlands,Centre-Back,1800000,Manchester City,ESTAC Troyes,0,Loan,,
226,21/22 Summer,Patrick Roberts,24,England,Right Winger,3200000,Manchester City,ESTAC Troyes,0,Loan,,
227,21/22 Summer,Ryotaro Meshino,23,Japan,Left Winger,350000,Manchester City,GD Estoril Praia,0,Loan,,
228,21/22 Summer,Marlos Moreno,24,Colombia,Left Winger,950000,Manchester City,KV Kortrijk,0,Loan,,
229,21/22 Summer,Daniel Arzani,22,Australia,Left Winger,450000,Manchester City,Lommel SK,0,Loan,,
230,21/22 Summer,Ko Itakura,24,Japan,Centre-Back,15000000,Manchester City,FC Schalke 04,0,Loan,,
231,21/22 Summer,Yan Couto,19,Brazil,Right-Back,8000000,Manchester City,SC Braga,0,Loan,,
232,21/22 Summer,Erik Palmer-Brown,24,United States,Centre-Back,2500000,Manchester City,ESTAC Troyes,0,Loan,,
233,21/22 Summer,Yangel Herrera,23,Venezuela,Central Midfield,10000000,Manchester City,RCD Espanyol Barcelona,0,Loan,,
234,21/22 Summer,Issa Kaboré,20,Burkina Faso,Right-Back,7000000,Manchester City,ESTAC Troyes,0,Loan,,
235,21/22 Summer,Taylor Harwood-Bellis,19,England,Centre-Back,25000000,Manchester City,RSC Anderlecht,0,Loan,,
236,21/22 Summer,Jadon Sancho,21,England,Left Winger,32000000,Borussia Dortmund,Manchester United,85000000,Transfer,,
237,21/22 Summer,Raphaël Varane,28,France,Centre-Back,35000000,Real Madrid,Manchester United,40000000,Transfer,,
238,21/22 Summer,Cristiano Ronaldo,36,Portugal,Centre-Forward,15000000,Juventus FC,Manchester United,17000000,Transfer,,
239,21/22 Summer,Tom Heaton,35,England,Goalkeeper,500000,Aston Villa,Manchester United,0,Free transfer,,
240,21/22 Summer,Shola Shoretire,17,England,Attacking Midfield,4000000,Manchester United U23,Manchester United,-,Graduated,,
241,21/22 Summer,Daniel James,23,Wales,Left Winger,12000000,Manchester United,Leeds United,29100000,Transfer,,
242,21/22 Summer,Andreas Pereira,25,Brazil,Attacking Midfield,18000000,Manchester United,CR Flamengo,1000000,Loan,,
243,21/22 Summer,Joel Pereira,25,Portugal,Goalkeeper,250000,Manchester United,RKC Waalwijk,0,Free transfer,,
244,21/22 Summer,Tahith Chong,21,Netherlands,Attacking Midfield,4500000,Manchester United,Birmingham City,0,Loan,,
245,21/22 Summer,Facundo Pellistri,19,Uruguay,Right Winger,8000000,Manchester United,Deportivo Alavés,0,Loan,,
246,21/22 Summer,Axel Tuanzebe,23,England,Centre-Back,3500000,Manchester United,Aston Villa,0,Loan,,
247,21/22 Summer,James Garner,20,England,Defensive Midfield,16000000,Manchester United,Nottingham Forest,0,Loan,,
248,21/22 Summer,Brandon Williams,20,England,Left-Back,5000000,Manchester United,Norwich City,0,Loan,,
249,21/22 Summer,Sergio Romero,34,Argentina,Goalkeeper,400000,Manchester United,Without Club,-,End of contract,,
250,21/22 Summer,Bryan Gil,20,Spain,Left Winger,15000000,Sevilla FC,Tottenham Hotspur,25000000,Transfer,,
251,21/22 Summer,Emerson Royal,22,Brazil,Right-Back,20000000,FC Barcelona,Tottenham Hotspur,25000000,Transfer,,
252,21/22 Summer,Pape Matar Sarr,18,Senegal,Central Midfield,35000000,FC Metz,Tottenham Hotspur,16900000,Transfer,,
253,21/22 Summer,Pierluigi Gollini,26,Italy,Goalkeeper,4500000,Atalanta BC,Tottenham Hotspur,0,Loan,,
254,21/22 Summer,Cristian Romero,23,Argentina,Centre-Back,60000000,Atalanta BC,Tottenham Hotspur,0,Loan,,
255,21/22 Summer,Brandon Austin,22,England,Goalkeeper,600000,Tottenham Hotspur U23,Tottenham Hotspur,-,Graduated,,
256,21/22 Summer,Juan Foyth,23,Argentina,Right-Back,25000000,Tottenham Hotspur,Villarreal CF,15000000,Transfer,,
257,21/22 Summer,Toby Alderweireld,32,Belgium,Centre-Back,3500000,Tottenham Hotspur,Al-Duhail SC,13000000,Transfer,,
258,21/22 Summer,Moussa Sissoko,32,France,Central Midfield,1500000,Tottenham Hotspur,Watford FC,3500000,Transfer,,
259,21/22 Summer,Joe Hart,34,England,Goalkeeper,1500000,Tottenham Hotspur,Celtic FC,1200000,Transfer,,
260,21/22 Summer,Danny Rose,30,England,Left-Back,500000,Tottenham Hotspur,Watford FC,0,Free transfer,,
261,21/22 Summer,Paulo Gazzaniga,29,Argentina,Goalkeeper,3000000,Tottenham Hotspur,Fulham FC,0,Free transfer,,
262,21/22 Summer,Erik Lamela,29,Argentina,Right Winger,7000000,Tottenham Hotspur,Sevilla FC,0,Free transfer,,
263,21/22 Summer,Pape Matar Sarr,18,Senegal,Central Midfield,35000000,Tottenham Hotspur,FC Metz,0,Loan,,
264,21/22 Summer,Alfie Whiteman,22,England,Goalkeeper,500000,Tottenham Hotspur,Degerfors IF,0,Loan,,
265,21/22 Summer,Serge Aurier,28,Cote d'Ivoire,Right-Back,8000000,Tottenham Hotspur,Without Club,-,End of contract,,
266,21/22 Summer,Cameron Carter-Vickers,23,United States,Centre-Back,13000000,Tottenham Hotspur,Celtic FC,0,Loan,,
267,21/22 Summer,Carlos Vinícius,26,Brazil,Centre-Forward,6000000,Tottenham Hotspur,SL Benfica,0,End of loan,,
268,21/22 Summer,Gareth Bale,31,Wales,Right Winger,-,Tottenham Hotspur,Real Madrid,0,End of loan,,
269,21/22 Winter,Auston Trusty,23,United States,Centre-Back,8000000,Colorado Rapids,Arsenal FC,1800000,Transfer,,
270,21/22 Winter,Ainsley Maitland-Niles,24,England,Central Midfield,6000000,Arsenal FC,AS Roma,500000,Loan,,
271,21/22 Winter,Dejan Iliev,26,North Macedonia,Goalkeeper,300000,Arsenal FC,AS Trencin,0,Free transfer,,
272,21/22 Winter,Sead Kolasinac,28,Bosnia-Herzegovina,Centre-Back,8000000,Arsenal FC,Olympique Marseille,0,Free transfer,,
273,21/22 Winter,Calum Chambers,27,England,Right-Back,8000000,Arsenal FC,Aston Villa,0,Free transfer,,
274,21/22 Winter,Pierre-Emerick Aubameyang,32,Gabon,Centre-Forward,4000000,Arsenal FC,FC Barcelona,0,Free transfer,,
275,21/22 Winter,Pablo Marí,28,Spain,Centre-Back,5000000,Arsenal FC,Udinese Calcio,0,Loan,,
276,21/22 Winter,Auston Trusty,23,United States,Centre-Back,8000000,Arsenal FC,Colorado Rapids,0,Loan,,
277,21/22 Winter,Lewis Baker,26,England,Central Midfield,2500000,Chelsea FC,England  Stoke City,0,Free transfer,,
278,21/22 Winter,Luis Díaz,25,Colombia,Left Winger,75000000,FC Porto,Liverpool FC,47000000,Transfer,,
279,21/22 Winter,Nathaniel Phillips,24,England,Centre-Back,4000000,Liverpool FC,AFC Bournemouth,0,Loan,,
280,21/22 Winter,Neco Williams,20,Wales,Right-Back,20000000,Liverpool FC,Fulham FC,0,Loan,,
281,21/22 Winter,Julián Álvarez,22,Argentina,Centre-Forward,80000000,CA River Plate,Manchester City,21400000,Transfer,,
282,21/22 Winter,Ferran Torres,21,Spain,Right Winger,35000000,Manchester City,FC Barcelona,55000000,Transfer,,
283,21/22 Winter,Patrick Roberts,24,England,Right Winger,3200000,Manchester City,Sunderland AFC,0,Free transfer,,
284,21/22 Winter,Philippe Sandler,24,Netherlands,Centre-Back,1800000,Manchester City,Feyenoord Rotterdam,0,Free transfer,,
285,21/22 Winter,Erik Palmer-Brown,24,United States,Centre-Back,2500000,Manchester City,ESTAC Troyes,0,Free transfer,,
286,21/22 Winter,Julián Álvarez,22,Argentina,Centre-Forward,80000000,Manchester City,CA River Plate,0,Loan,,
287,21/22 Winter,Luka Ilic,22,Serbia,Attacking Midfield,2000000,Manchester City,ESTAC Troyes,?,Transfer,,
288,21/22 Winter,Taylor Harwood-Bellis,19,England,Centre-Back,25000000,Manchester City,Stoke City,0,Loan,,
289,21/22 Winter,Anthony Elanga,19,Sweden,Left Winger,18000000,Manchester United U23,Manchester United,-,Graduated,,
290,21/22 Winter,Axel Tuanzebe,24,England,Centre-Back,3500000,Manchester United,SSC Napoli,1000000,Loan,,
291,21/22 Winter,Teden Mengi,19,England,Centre-Back,2000000,Manchester United,Birmingham City,0,Loan,,
292,21/22 Winter,Anthony Martial,26,France,Centre-Forward,15000000,Manchester United,Sevilla FC,0,Loan,,
293,21/22 Winter,Amad Diallo,19,Cote d'Ivoire,Right Winger,18000000,Manchester United,Rangers FC,0,Loan,,
294,21/22 Winter,Donny van de Beek,24,Netherlands,Central Midfield,10000000,Manchester United,Everton FC,0,Loan,,
295,21/22 Winter,Rodrigo Bentancur,24,Uruguay,Central Midfield,40000000,Juventus FC,Tottenham Hotspur,19000000,Transfer,,
296,21/22 Winter,Dejan Kulusevski,21,Sweden,Right Winger,50000000,Juventus FC,Tottenham Hotspur,10000000,Loan,,
297,21/22 Winter,Tanguy Ndombélé,25,France,Central Midfield,21000000,Tottenham Hotspur,Olympique Lyon,1420000,Loan,,
298,21/22 Winter,Bryan Gil,20,Spain,Left Winger,15000000,Tottenham Hotspur,Valencia CF,500000,Loan,,
299,21/22 Winter,Dele Alli,25,England,Attacking Midfield,5000000,Tottenham Hotspur,Everton FC,0,Free transfer,,
300,21/22 Winter,Jack Clarke,21,England,Left Winger,15000000,Tottenham Hotspur,Sunderland AFC,0,Loan,,
301,21/22 Winter,Giovani Lo Celso,25,Argentina,Attacking Midfield,14000000,Tottenham Hotspur,Villarreal CF,0,Loan,,
302,21/22 Winter,Alfie Whiteman,23,England,Goalkeeper,500000,Tottenham Hotspur,Degerfors IF,0,Loan,,
303,22/23 Summer,Gabriel Jesus,25,Brazil,Centre-Forward,75000000,Manchester City,Arsenal FC,52200000,Transfer,,
304,22/23 Summer,Fábio Vieira,22,Portugal,Attacking Midfield,25000000,FC Porto,Arsenal FC,35000000,Transfer,,
305,22/23 Summer,Oleksandr Zinchenko,25,Ukraine,Left-Back,42000000,Manchester City,Arsenal FC,35000000,Transfer,,
306,22/23 Summer,Matt Turner,28,United States,Goalkeeper,10000000,New England Revolution,Arsenal FC,5900000,Transfer,,
307,22/23 Summer,Marquinhos,19,Brazil,Right Winger,10000000,São Paulo Futebol Clube,Arsenal FC,3500000,Transfer,,
308,22/23 Summer,Folarin Balogun,20,United States,Centre-Forward,30000000,Arsenal FC U21,Arsenal FC,-,Graduated,,
309,22/23 Summer,Karl Hein,20,Estonia,Goalkeeper,1500000,Arsenal FC U21,Arsenal FC,-,Graduated,,
310,22/23 Summer,Mattéo Guendouzi,23,France,Central Midfield,20000000,Arsenal FC,Olympique Marseille,11000000,Transfer,,
311,22/23 Summer,Lucas Torreira,26,Uruguay,Defensive Midfield,15000000,Arsenal FC,Galatasaray,6000000,Transfer,,
312,22/23 Summer,Bernd Leno,30,Germany,Goalkeeper,12000000,Arsenal FC,Fulham FC,3600000,Transfer,,
313,22/23 Summer,Konstantinos Mavropanos,24,Greece,Centre-Back,15000000,Arsenal FC,VfB Stuttgart,3200000,Transfer,,
314,22/23 Summer,Alexandre Lacazette,31,France,Centre-Forward,12000000,Arsenal FC,Olympique Lyon,0,Free transfer,,
315,22/23 Summer,Héctor Bellerín,27,Spain,Right-Back,8000000,Arsenal FC,FC Barcelona,0,Free transfer,,
316,22/23 Summer,Pablo Marí,28,Spain,Centre-Back,5000000,Arsenal FC,AC Monza,0,Loan,,
317,22/23 Summer,Nuno Tavares,22,Portugal,Left-Back,18000000,Arsenal FC,Olympique Marseille,0,Loan,,
318,22/23 Summer,Ainsley Maitland-Niles,25,England,Central Midfield,6000000,Arsenal FC,Southampton FC,0,Loan,,
319,22/23 Summer,Nicolas Pépé,27,Cote d'Ivoire,Right Winger,14000000,Arsenal FC,OGC Nice,0,Loan,,
320,22/23 Summer,Rúnar Alex Rúnarsson,27,Iceland,Goalkeeper,1000000,Arsenal FC,Alanyaspor,0,Loan,,
321,22/23 Summer,Folarin Balogun,21,United States,Centre-Forward,30000000,Arsenal FC,Stade Reims,0,Loan,,
322,22/23 Summer,Arthur Okonkwo,20,England,Goalkeeper,2000000,Arsenal FC,Crewe Alexandra,0,Loan,,
323,22/23 Summer,Auston Trusty,23,United States,Centre-Back,8000000,Arsenal FC,Birmingham City,0,Loan,,
324,22/23 Summer,Wesley Fofana,21,France,Centre-Back,40000000,Leicester City,Chelsea FC,80400000,Transfer,,
325,22/23 Summer,Marc Cucurella,24,Spain,Left-Back,28000000,Brighton & Hove Albion,Chelsea FC,65300000,Transfer,,
326,22/23 Summer,Raheem Sterling,27,England,Left Winger,50000000,Manchester City,Chelsea FC,56200000,Transfer,,
327,22/23 Summer,Kalidou Koulibaly,31,Senegal,Centre-Back,12000000,SSC Napoli,Chelsea FC,38000000,Transfer,,
328,22/23 Summer,Carney Chukwuemeka,18,England,Central Midfield,15000000,Aston Villa,Chelsea FC,18000000,Transfer,,
329,22/23 Summer,Pierre-Emerick Aubameyang,33,Gabon,Centre-Forward,4000000,FC Barcelona,Chelsea FC,12000000,Transfer,,
330,22/23 Summer,Gabriel Slonina,18,United States,Goalkeeper,6500000,Chicago Fire FC,Chelsea FC,9090000,Transfer,,
331,22/23 Summer,Denis Zakaria,25,Switzerland,Defensive Midfield,20000000,Juventus FC,Chelsea FC,3000000,Loan,,
332,22/23 Summer,Conor Gallagher,22,England,Central Midfield,40000000,Chelsea FC U21,Chelsea FC,-,Graduated,,
333,22/23 Summer,Armando Broja,20,Albania,Centre-Forward,28000000,Chelsea FC U21,Chelsea FC,-,Graduated,,
334,22/23 Summer,Timo Werner,26,Germany,Centre-Forward,20000000,Chelsea FC,RB Leipzig,20000000,Transfer,,
335,22/23 Summer,Emerson Palmieri,28,Italy,Left-Back,12000000,Chelsea FC,West Ham United,15400000,Transfer,,
336,22/23 Summer,Billy Gilmour,21,Scotland,Defensive Midfield,18000000,Chelsea FC,Brighton & Hove Albion,8300000,Transfer,,
337,22/23 Summer,Romelu Lukaku,29,Belgium,Centre-Forward,40000000,Chelsea FC,Inter Milan,7860000,Loan,,
338,22/23 Summer,Michy Batshuayi,28,Belgium,Centre-Forward,9000000,Chelsea FC,Fenerbahce,3500000,Transfer,,
339,22/23 Summer,Malang Sarr,23,France,Centre-Back,6000000,Chelsea FC,AS Monaco,1000000,Loan,,
340,22/23 Summer,Kenedy,26,Brazil,Left Winger,1500000,Chelsea FC,Real Valladolid CF,500000,Transfer,,
341,22/23 Summer,Andreas Christensen,26,Denmark,Centre-Back,40000000,Chelsea FC,FC Barcelona,0,Free transfer,,
342,22/23 Summer,Matt Miazga,27,United States,Centre-Back,1800000,Chelsea FC,FC Cincinnati,0,Free transfer,,
343,22/23 Summer,Jake Clarke-Salter,24,England,Centre-Back,1500000,Chelsea FC,Queens Park Rangers,0,Free transfer,,
344,22/23 Summer,Charly Musonda Jr.,25,Belgium,Left Winger,500000,Chelsea FC,Levante UD,0,Free transfer,,
345,22/23 Summer,Antonio Rüdiger,29,Germany,Centre-Back,32000000,Chelsea FC,Real Madrid,0,Free transfer,,
346,22/23 Summer,Marcos Alonso,31,Spain,Left-Back,3000000,Chelsea FC,FC Barcelona,0,Free transfer,,
347,22/23 Summer,Gabriel Slonina,18,United States,Goalkeeper,6500000,Chelsea FC,Chicago Fire FC,0,Loan,,
348,22/23 Summer,Abdul Rahman Baba,28,Ghana,Left-Back,1200000,Chelsea FC,Reading FC,0,Loan,,
349,22/23 Summer,Ethan Ampadu,21,Wales,Defensive Midfield,12000000,Chelsea FC,Spezia Calcio,0,Loan,,
350,22/23 Summer,Callum Hudson-Odoi,21,England,Left Winger,12000000,Chelsea FC,Bayer 04 Leverkusen,0,Loan,,
351,22/23 Summer,Danny Drinkwater,32,England,Central Midfield,-,Chelsea FC,Without Club,-,End of contract,,
352,22/23 Summer,Ross Barkley,28,England,Central Midfield,4500000,Chelsea FC,Without Club,-,End of contract,,
353,22/23 Summer,Saúl Ñíguez,27,Spain,Central Midfield,12000000,Chelsea FC,Atlético de Madrid,0,End of loan,,
354,22/23 Summer,Darwin Núñez,23,Uruguay,Centre-Forward,65000000,SL Benfica,Liverpool FC,80000000,Transfer,,
355,22/23 Summer,Fábio Carvalho,19,Portugal,Attacking Midfield,16000000,Fulham FC,Liverpool FC,5900000,Transfer,,
356,22/23 Summer,Calvin Ramsay,18,Scotland,Right-Back,5000000,Aberdeen FC,Liverpool FC,4900000,Transfer,,
357,22/23 Summer,Arthur Melo,26,Brazil,Central Midfield,15000000,Juventus FC,Liverpool FC,4500000,Loan,,
358,22/23 Summer,Stefan Bajcetic,17,Spain,Defensive Midfield,13000000,Liverpool FC U18,Liverpool FC,-,Graduated,,
359,22/23 Summer,Sadio Mané,30,Senegal,Left Winger,25000000,Liverpool FC,Bayern Munich,32000000,Transfer,,
360,22/23 Summer,Neco Williams,21,Wales,Right-Back,20000000,Liverpool FC,Nottingham Forest,20000000,Transfer,,
361,22/23 Summer,Takumi Minamino,27,Japan,Left Winger,10000000,Liverpool FC,AS Monaco,15000000,Transfer,,
362,22/23 Summer,Marko Gruji?,26,Serbia,Defensive Midfield,9000000,Liverpool FC,FC Porto,9000000,Transfer,,
363,22/23 Summer,Ben Davies,26,England,Centre-Back,3500000,Liverpool FC,Rangers FC,4700000,Transfer,,
364,22/23 Summer,Sheyi Ojo,25,England,Right Winger,1800000,Liverpool FC,Cardiff City,0,Free transfer,,
365,22/23 Summer,Ben Woodburn,22,Wales,Attacking Midfield,1000000,Liverpool FC,Preston North End,0,Free transfer,,
366,22/23 Summer,Divock Origi,27,Belgium,Centre-Forward,6000000,Liverpool FC,AC Milan,0,Free transfer,,
367,22/23 Summer,Rhys Williams,21,England,Centre-Back,2000000,Liverpool FC,Blackpool FC,0,Loan,,
368,22/23 Summer,Sepp van den Berg,20,Netherlands,Centre-Back,5000000,Liverpool FC,FC Schalke 04,0,Loan,,
369,22/23 Summer,Loris Karius,29,Germany,Goalkeeper,1200000,Liverpool FC,Without Club,-,End of contract,,
370,22/23 Summer,Erling Haaland,21,Norway,Centre-Forward,180000000,Borussia Dortmund,Manchester City,60000000,Transfer,,
371,22/23 Summer,Kalvin Phillips,26,England,Defensive Midfield,28000000,Leeds United,Manchester City,49000000,Transfer,,
372,22/23 Summer,Manuel Akanji,27,Switzerland,Centre-Back,38000000,Borussia Dortmund,Manchester City,20000000,Transfer,,
373,22/23 Summer,Sergio Gómez,21,Spain,Left-Back,13000000,RSC Anderlecht,Manchester City,15000000,Transfer,,
374,22/23 Summer,Stefan Ortega,29,Germany,Goalkeeper,9000000,Arminia Bielefeld,Manchester City,0,Free transfer,,
375,22/23 Summer,Rico Lewis,17,England,Right-Back,20000000,Manchester City U18,Manchester City,-,Graduated,,
378,22/23 Summer,Raheem Sterling,27,England,Left Winger,50000000,Manchester City,Chelsea FC,56200000,Transfer,,
379,22/23 Summer,Gabriel Jesus,25,Brazil,Centre-Forward,75000000,Manchester City,Arsenal FC,52200000,Transfer,,
380,22/23 Summer,Oleksandr Zinchenko,25,Ukraine,Left-Back,42000000,Manchester City,Arsenal FC,35000000,Transfer,,
381,22/23 Summer,Pedro Porro,22,Spain,Right-Back,40000000,Manchester City,Sporting CP,8770000,Transfer,,
382,22/23 Summer,Ko Itakura,25,Japan,Centre-Back,15000000,Manchester City,Borussia Mönchengladbach,5000000,Transfer,,
383,22/23 Summer,Arijanet Muric,23,Kosovo,Goalkeeper,9000000,Manchester City,Burnley FC,3000000,Transfer,,
384,22/23 Summer,Ryotaro Meshino,24,Japan,Left Winger,350000,Manchester City,Gamba Osaka,0,Free transfer,,
385,22/23 Summer,Fernandinho,37,Brazil,Defensive Midfield,600000,Manchester City,Club Athletico Paranaense,0,Free transfer,,
386,22/23 Summer,Daniel Arzani,23,Australia,Left Winger,450000,Manchester City,Macarthur FC,0,Free transfer,,
387,22/23 Summer,Nahuel Bustos,24,Argentina,Centre-Forward,4500000,Manchester City,São Paulo Futebol Clube,0,Loan,,
388,22/23 Summer,Marlos Moreno,25,Colombia,Left Winger,950000,Manchester City,ESTAC Troyes,?,Transfer,,
389,22/23 Summer,Ante Palaversa,22,Croatia,Central Midfield,500000,Manchester City,ESTAC Troyes,?,Transfer,,
390,22/23 Summer,Taylor Harwood-Bellis,20,England,Centre-Back,25000000,Manchester City,Burnley FC,0,Loan,,
391,22/23 Summer,Issa Kaboré,21,Burkina Faso,Right-Back,7000000,Manchester City,Olympique Marseille,0,Loan,,
392,22/23 Summer,Slobodan Tedic,22,Serbia,Centre-Forward,600000,Manchester City,Barnsley FC,0,Loan,,
393,22/23 Summer,Yangel Herrera,24,Venezuela,Central Midfield,10000000,Manchester City,Girona FC,0,Loan,,
394,22/23 Summer,Yan Couto,20,Brazil,Right-Back,8000000,Manchester City,Girona FC,0,Loan,,
395,22/23 Summer,Zack Steffen,27,United States,Goalkeeper,3500000,Manchester City,Middlesbrough FC,0,Loan,,
396,22/23 Summer,Diego Rosa,19,Brazil,Central Midfield,2000000,Manchester City,FC Vizela,0,Loan,,
397,22/23 Summer,Thomas Agyepong,25,Ghana,Left Winger,100000,Manchester City,Without Club,-,End of contract,,
398,22/23 Summer,Antony,22,Brazil,Right Winger,50000000,Ajax Amsterdam,Manchester United,95000000,Transfer,,
399,22/23 Summer,Casemiro,30,Brazil,Defensive Midfield,40000000,Real Madrid,Manchester United,70650000,Transfer,,
400,22/23 Summer,Lisandro Martínez,24,Argentina,Centre-Back,50000000,Ajax Amsterdam,Manchester United,57370000,Transfer,,
401,22/23 Summer,Tyrell Malacia,22,Netherlands,Left-Back,22000000,Feyenoord Rotterdam,Manchester United,15000000,Transfer,,
402,22/23 Summer,Martin Dúbravka,33,Slovakia,Goalkeeper,1500000,Newcastle United,Manchester United,2300000,Loan,,
403,22/23 Summer,Christian Eriksen,30,Denmark,Attacking Midfield,18000000,Brentford FC,Manchester United,0,Free transfer,,
404,22/23 Summer,Hannibal,19,Tunisia,Attacking Midfield,12000000,Manchester United U21,Manchester United,-,Graduated,,
405,22/23 Summer,Alejandro Garnacho,18,Argentina,Left Winger,25000000,Manchester United U21,Manchester United,-,Graduated,,
406,22/23 Summer,Matej Kovar,22,Czech Republic,Goalkeeper,5000000,Manchester United U21,Manchester United,-,Graduated,,
407,22/23 Summer,Álvaro Carreras,19,Spain,Left-Back,7000000,Manchester United U21,Manchester United,-,Graduated,,
408,22/23 Summer,James Garner,21,England,Defensive Midfield,16000000,Manchester United,Everton FC,10400000,Transfer,,
409,22/23 Summer,Andreas Pereira,26,Brazil,Attacking Midfield,18000000,Manchester United,Fulham FC,9500000,Transfer,,
410,22/23 Summer,Eric Bailly,28,Cote d'Ivoire,Centre-Back,4000000,Manchester United,Olympique Marseille,2000000,Loan,,
411,22/23 Summer,Tahith Chong,22,Netherlands,Attacking Midfield,4500000,Manchester United,Birmingham City,1750000,Transfer,,
412,22/23 Summer,Edinson Cavani,35,Uruguay,Centre-Forward,2500000,Manchester United,Valencia CF,0,Free transfer,,
413,22/23 Summer,Paul Pogba,29,France,Central Midfield,-,Manchester United,Juventus FC,0,Free transfer,,
414,22/23 Summer,Nemanja Matic,33,Serbia,Defensive Midfield,4000000,Manchester United,AS Roma,0,Free transfer,,
415,22/23 Summer,Juan Mata,34,Spain,Attacking Midfield,1000000,Manchester United,Galatasaray,0,Free transfer,,
416,22/23 Summer,Jesse Lingard,29,England,Attacking Midfield,6000000,Manchester United,Nottingham Forest,0,Free transfer,,
417,22/23 Summer,Álvaro Carreras,19,Spain,Left-Back,7000000,Manchester United,Preston North End,0,Loan,,
418,22/23 Summer,Amad Diallo,20,Cote d'Ivoire,Right Winger,18000000,Manchester United,Sunderland AFC,0,Loan,,
419,22/23 Summer,Matej Kovar,22,Czech Republic,Goalkeeper,5000000,Manchester United,AC Sparta Prague,0,Loan,,
420,22/23 Summer,Hannibal,19,Tunisia,Attacking Midfield,12000000,Manchester United,Birmingham City,0,Loan,,
421,22/23 Summer,Alex Telles,29,Brazil,Left-Back,7000000,Manchester United,Sevilla FC,0,Loan,,
422,22/23 Summer,Dean Henderson,25,England,Goalkeeper,18000000,Manchester United,Nottingham Forest,0,Loan,,
423,22/23 Summer,Lee Grant,39,England,Goalkeeper,-,Manchester United,Retired,-,End of contract,,
424,22/23 Summer,Richarlison,25,Brazil,Centre-Forward,40000000,Everton FC,Tottenham Hotspur,58000000,Transfer,,
425,22/23 Summer,Cristian Romero,24,Argentina,Centre-Back,60000000,Atalanta BC,Tottenham Hotspur,50000000,Transfer,,
426,22/23 Summer,Yves Bissouma,25,Mali,Central Midfield,30000000,Brighton & Hove Albion,Tottenham Hotspur,29200000,Transfer,,
427,22/23 Summer,Destiny Udogie,19,Italy,Left-Back,38000000,Udinese Calcio,Tottenham Hotspur,18000000,Transfer,,
428,22/23 Summer,Djed Spence,21,England,Right-Back,8000000,Middlesbrough FC,Tottenham Hotspur,14700000,Transfer,,
429,22/23 Summer,Ivan Perisic,33,Croatia,Left Midfield,4000000,Inter Milan,Tottenham Hotspur,0,Free transfer,,
430,22/23 Summer,Fraser Forster,34,England,Goalkeeper,1500000,Southampton FC,Tottenham Hotspur,0,Free transfer,,
431,22/23 Summer,Clément Lenglet,27,France,Centre-Back,10000000,FC Barcelona,Tottenham Hotspur,0,Loan,,
432,22/23 Summer,Steven Bergwijn,24,Netherlands,Left Winger,20000000,Tottenham Hotspur,Ajax Amsterdam,31250000,Transfer,,
433,22/23 Summer,Cameron Carter-Vickers,24,United States,Centre-Back,13000000,Tottenham Hotspur,Celtic FC,7000000,Transfer,,
434,22/23 Summer,Tanguy Ndombélé,25,France,Central Midfield,21000000,Tottenham Hotspur,SSC Napoli,500000,Loan,,
435,22/23 Summer,Jack Clarke,21,England,Left Winger,15000000,Tottenham Hotspur,Sunderland AFC,?,Transfer,,
436,22/23 Summer,Sergio Reguilón,25,Spain,Left-Back,10000000,Tottenham Hotspur,Atlético de Madrid,0,Loan,,
437,22/23 Summer,Harry Winks,26,England,Defensive Midfield,12000000,Tottenham Hotspur,UC Sampdoria,0,Loan,,
438,22/23 Summer,Destiny Udogie,19,Italy,Left-Back,38000000,Tottenham Hotspur,Udinese Calcio,0,Loan,,
439,22/23 Summer,Giovani Lo Celso,26,Argentina,Attacking Midfield,14000000,Tottenham Hotspur,Villarreal CF,0,Loan,,
440,22/23 Summer,Joe Rodon,24,Wales,Centre-Back,5000000,Tottenham Hotspur,Stade Rennais FC,0,Loan,,
441,22/23 Summer,Cristian Romero,24,Argentina,Centre-Back,60000000,Tottenham Hotspur,Atalanta BC,0,End of loan,,
442,22/23 Summer,Pierluigi Gollini,27,Italy,Goalkeeper,4500000,Tottenham Hotspur,Atalanta BC,0,End of loan,,
443,22/23 Winter,Jakub Kiwior,22,Poland,Centre-Back,25000000,Spezia Calcio,Arsenal FC,25000000,Transfer,,
444,22/23 Winter,Leandro Trossard,28,Belgium,Left Winger,35000000,Brighton & Hove Albion,Arsenal FC,24000000,Transfer,,
445,22/23 Winter,Jorginho,31,Italy,Defensive Midfield,15000000,Chelsea FC,Arsenal FC,11300000,Transfer,,
446,22/23 Winter,Arthur Okonkwo,21,England,Goalkeeper,2000000,Arsenal FC,SK Sturm Graz,0,Loan,,
447,22/23 Winter,Marquinhos,19,Brazil,Right Winger,10000000,Arsenal FC,Norwich City,0,Loan,,
448,22/23 Winter,Albert Sambi Lokonga,23,Belgium,Central Midfield,15000000,Arsenal FC,Crystal Palace,0,Loan,,
449,22/23 Winter,Cédric Soares,31,Portugal,Right-Back,3000000,Arsenal FC,Fulham FC,0,Loan,,
450,22/23 Winter,Enzo Fernández,22,Argentina,Central Midfield,80000000,SL Benfica,Chelsea FC,121000000,Transfer,,
451,22/23 Winter,Mykhaylo Mudryk,22,Ukraine,Left Winger,45000000,Shakhtar Donetsk,Chelsea FC,70000000,Transfer,,
