No,Season,Name,Age,Nat.,Position,Market value,From,To,Fee,Type,,
52,20/21 Summer,Harry Wilson,23,Wales,Right Winger,16000000,Liverpool FC,Cardiff City,1300000,Loan,,
53,20/21 Summer,Adam Lallana,32,England,Attacking Midfield,1200000,Liverpool FC,Brighton & Hove Albion,0,Free transfer,,
54,20/21 Summer,Nathaniel Clyne,29,England,Right-Back,2000000,Liverpool FC,Crystal Palace,0,Free transfer,,
55,20/21 Summer,Sheyi Ojo,23,England,Right Winger,1800000,Liverpool FC,Cardiff City,0,Loan,,
56,20/21 Summer,Taiwo Awoniyi,23,Nigeria,Centre-Forward,30000000,Liverpool FC,1.FC Union Berlin,0,Loan,,
57,20/21 Summer,Loris Karius,27,Germany,Goalkeeper,1200000,Liverpool FC,1.FC Union Berlin,0,Loan,,
58,20/21 Summer,Marko Gruji?,24,Serbia,Defensive Midfield,9000000,Liverpool FC,FC Porto,0,Loan,,
59,20/21 Summer,Ben Woodburn,21,Wales,Attacking Midfield,1000000,Liverpool FC,Blackpool FC,0,Loan,,
60,20/21 Summer,Andy Lonergan,36,England,Goalkeeper,150000,Liverpool FC,Without Club,-,End of contract,,
61,20/21 Summer,Rúben Dias,23,Portugal,Centre-Back,80000000,SL Benfica,Manchester City,71600000,Transfer,,
62,20/21 Summer,Nathan Aké,25,Netherlands,Centre-Back,42000000,AFC Bournemouth,Manchester City,45300000,Transfer,,
63,20/21 Summer,Ferran Torres,20,Spain,Right Winger,35000000,Valencia CF,Manchester City,33500000,Transfer,,
64,20/21 Summer,Nahuel Bustos,22,Argentina,Centre-Forward,4500000,CA Talleres,Manchester City,6500000,Transfer,,
65,20/21 Summer,Yan Couto,18,Brazil,Right-Back,8000000,Coritiba Foot Ball Club,Manchester City,6000000,Transfer,,
66,20/21 Summer,Issa Kaboré,19,Burkina Faso,Right-Back,7000000,KV Mechelen,Manchester City,4500000,Transfer,,
67,20/21 Summer,Leroy Sané,24,Germany,Right Winger,75000000,Manchester City,Bayern Munich,49000000,Transfer,,
68,20/21 Summer,Nicolás Otamendi,32,Argentina,Centre-Back,2000000,Manchester City,SL Benfica,15000000,Transfer,,
69,20/21 Summer,Claudio Bravo,37,Chile,Goalkeeper,1000000,Manchester City,Real Betis Balompié,0,Free transfer,,
70,20/21 Summer,David Silva,34,Spain,Attacking Midfield,-,Manchester City,Real Sociedad,0,Free transfer,,
71,20/21 Summer,Aleix García,23,Spain,Central Midfield,10000000,Manchester City,FC Dinamo 1948,0,Free transfer,,
72,20/21 Summer,Lukas Nmecha,21,Germany,Centre-Forward,12000000,Manchester City,RSC Anderlecht,0,Loan,,
73,20/21 Summer,Nahuel Bustos,22,Argentina,Centre-Forward,4500000,Manchester City,Girona FC,0,Loan,,
74,20/21 Summer,Yan Couto,18,Brazil,Right-Back,8000000,Manchester City,Girona FC,0,Loan,,
75,20/21 Summer,Patrick Roberts,23,England,Right Winger,3200000,Manchester City,Middlesbrough FC,0,Loan,,
76,20/21 Summer,Thomas Agyepong,23,Ghana,Left Winger,100000,Manchester City,Lommel SK,0,Loan,,
77,20/21 Summer,Luka Ilic,21,Serbia,Attacking Midfield,2000000,Manchester City,Twente Enschede FC,0,Loan,,
78,20/21 Summer,Ko Itakura,23,Japan,Centre-Back,15000000,Manchester City,FC Groningen,0,Loan,,
79,20/21 Summer,Issa Kaboré,19,Burkina Faso,Right-Back,7000000,Manchester City,KV Mechelen,0,Loan,,
80,20/21 Summer,Marlos Moreno,24,Colombia,Left Winger,950000,Manchester City,Lommel SK,0,Loan,,
81,20/21 Summer,Pedro Porro,20,Spain,Right-Back,40000000,Manchester City,Sporting CP,0,Loan,,
82,20/21 Summer,Arijanet Muric,21,Kosovo,Goalkeeper,9000000,Manchester City,Girona FC,0,Loan,,
83,20/21 Summer,Ryotaro Meshino,22,Japan,Left Winger,350000,Manchester City,Rio Ave FC,0,Loan,,
84,20/21 Summer,Slobodan Tedic,20,Serbia,Centre-Forward,600000,Manchester City,PEC Zwolle,0,Loan,,
85,20/21 Summer,Ante Palaversa,20,Croatia,Central Midfield,500000,Manchester City,Getafe CF,0,Loan,,
86,20/21 Summer,Daniel Arzani,21,Australia,Left Winger,450000,Manchester City,FC Utrecht,0,Loan,,
87,20/21 Summer,Scott Carson,35,England,Goalkeeper,200000,Manchester City,Derby County,0,End of loan,,
88,20/21 Summer,Donny van de Beek,23,Netherlands,Central Midfield,10000000,Ajax Amsterdam,Manchester United,39000000,Transfer,,
89,20/21 Summer,Alex Telles,27,Brazil,Left-Back,7000000,FC Porto,Manchester United,15000000,Transfer,,
90,20/21 Summer,Facundo Pellistri,18,Uruguay,Right Winger,8000000,CA Peñarol,Manchester United,8500000,Transfer,,
91,20/21 Summer,Edinson Cavani,33,Uruguay,Centre-Forward,2500000,Paris Saint-Germain,Manchester United,0,Free transfer,,
92,20/21 Summer,Dean Henderson,23,England,Goalkeeper,18000000,Manchester United U23,Manchester United,-,Graduated,,
93,20/21 Summer,Teden Mengi,18,England,Centre-Back,2000000,Manchester United U23,Manchester United,-,Graduated,,
94,20/21 Summer,James Garner,19,England,Defensive Midfield,16000000,Manchester United U23,Manchester United,-,Graduated,,
95,20/21 Summer,Chris Smalling,30,England,Centre-Back,8000000,Manchester United,AS Roma,15000000,Transfer,,
96,20/21 Summer,Diogo Dalot,21,Portugal,Right-Back,40000000,Manchester United,AC Milan,500000,Loan,,
97,20/21 Summer,Angel Gomes,19,England,Central Midfield,18000000,Manchester United,LOSC Lille,0,Free transfer,,
98,20/21 Summer,Cameron Borthwick-Jackson,23,England,Left-Back,250000,Manchester United,Oldham Athletic,0,Free transfer,,
99,20/21 Summer,Alexis Sánchez,31,Chile,Centre-Forward,4000000,Manchester United,Inter Milan,0,Free transfer,,
100,20/21 Summer,Tahith Chong,20,Netherlands,Attacking Midfield,4500000,Manchester United,SV Werder Bremen,0,Loan,,
101,20/21 Summer,Joel Pereira,24,Portugal,Goalkeeper,250000,Manchester United,Huddersfield Town,0,Loan,,
102,20/21 Summer,James Garner,19,England,Defensive Midfield,16000000,Manchester United,Watford FC,0,Loan,,
103,20/21 Summer,Andreas Pereira,24,Brazil,Attacking Midfield,18000000,Manchester United,SS Lazio,0,Loan,,
104,20/21 Summer,Giovani Lo Celso,24,Argentina,Attacking Midfield,14000000,Real Betis Balompié,Tottenham Hotspur,32000000,Transfer,,
105,20/21 Summer,Sergio Reguilón,23,Spain,Left-Back,10000000,Real Madrid,Tottenham Hotspur,30000000,Transfer,,
